ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,total_revenue,operating_costs,proprietary_expenses,gross_profit,management_fee,total_operating_revenues,capex,roe,roic,roic_ttm,ev_ebitda,pe,pb,pcf,ps,market_cap,roa,short_debt_ratio,long_debt_ratio,debt_to_capital,asset_to_liab,equity_multiplier,current_ratio,net_income,management_compensation,beta,calculated_total,total_check,sector
pg,Procter & Gamble Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BBB,High,BB,Medium,560,422,310,1292,A,High,80187000000.0,42157000000.0,20217000000.0,38030000000.0,,80187000000.0,3156000000.0,31.7145,18.8459,18.5203,19.9110399474927,22.4517824961131,7.23525942285008,-107.672146245185,4.12765382864679,392112008187.48,12.6212,47.0208,52.9792,40.3332,60.0249,2.5016,0.6545,14793000000.0,59139890.0,-0.0007445097006573,1292,True,Consumer
ogn,Organon & Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,A,High,BB,Medium,BB,Medium,515,335,305,1155,BBB,High,6174000000.0,2294000000.0,2203000000.0,3880000000.0,,6174000000.0,427000000.0,,11.7211,11.4325,9.28689001337007,1.71745875954198,-1.76559381446188,-50.8035381451613,0.255087412131519,7720598383.05,8.3706,21.2037,78.7963,111.1208,108.1424,-12.2814,1.5649,917000000.0,36965977.0,0.0216211611137421,1155,True,Healthcare
oxy,Occidental Petroleum Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,A,High,BB,Medium,BB,Medium,505,302,300,1107,BBB,High,36634000000.0,14227000000.0,8742000000.0,22407000000.0,,36634000000.0,4497000000.0,52.7811,26.6442,25.0481,4.17020776125,4.79746706623271,3.14055512715446,-35.9175587220934,1.74224768928209,27078825553.0,18.3228,18.2415,81.7585,39.7336,58.5657,2.4135,1.1455,13304000000.0,47642557.0,0.46420641558342,1107,True,Energy_Materials
dell,Dell Technologies Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,A,High,BB,Medium,B,Medium,500,318,275,1093,BBB,High,101197000000.0,79306000000.0,17232000000.0,21891000000.0,,101197000000.0,2796000000.0,,14.6003,22.0151,6.00968987493725,20.4090405635125,-67.3801143352047,-22.2531345854214,1.12192547856972,42907416124.91,6.1541,59.6077,40.3923,106.6682,101.7038,-58.693,0.801,5707000000.0,84416779.0,0.0426908787975248,1093,True,Tech
payc,Paycom Software Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,BBB,High,BB,Medium,BB,Medium,470,305,315,1090,BBB,High,1375218000.0,212741000.0,783798000.0,1162477000.0,239130000.0,1375218000.0,136798000.0,27.1046,26.3661,23.2244,73.9994865662024,23.7303703553088,5.64639409703308,11.1962112660378,4.85556848725802,24086002280.0,7.2105,87.3941,12.6059,2.3935,69.6963,3.2999,1.1629,281389000.0,29069108.0,0.0948525077099106,1090,True,Tech
peg,Public Service Enterprise Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,A,High,BB,Medium,B,Medium,500,300,205,1005,BBB,High,9800000000.0,4018000000.0,4278000000.0,5782000000.0,,9800000000.0,2888000000.0,7.3206,3.0379,3.0324,63.469766297663,38.9413799757517,2.92436177106854,-114.058416917614,4.09679211785714,33631920000.0,2.1163,19.0917,80.9083,59.6194,71.8195,3.5485,0.6442,1031000000.0,36582935.0,-0.0578222676804456,1005,True,Real_Assets
oke,ONEOK Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,A,High,BB,Medium,BB,Medium,581,326,355,1262,A,High,22386892000.0,17909866000.0,1669607000.0,4477026000.0,,22386892000.0,1202057000.0,27.5356,8.6602,8.5565,15.4139603249236,34.216778586128,9.07451466008098,798.104645882496,2.63229280033066,26215079280.52,7.0643,17.0623,82.9377,67.7158,73.3629,3.7542,0.8349,1722221000.0,22635540.0,0.113399484995612,1262,True,Energy_Materials
nrg,NRG Energy Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,BB,Medium,BB,Medium,B,Medium,371,327,218,916,BBB,High,31543000000.0,27446000000.0,1862000000.0,4097000000.0,,31543000000.0,367000000.0,32.8756,10.4194,10.289,4.84406059801088,25.680016311597,8.19103968559561,29.3588950528652,0.994049390243794,10500917968.92,4.1893,51.2758,48.7242,67.7425,86.8661,7.6139,1.2503,1221000000.0,23175796.0,-0.0769664687042985,916,True,Real_Assets
l,Loews Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,A,High,BB,Medium,BB,Medium,505,303,313,1121,BBB,High,,,6038000000.0,,,14044000000.0,660000000.0,6.2384,,,,21.759753601166,1.50848545310179,-247.425512858202,1.56799135889917,14348568865.76,1.461,,,80.4353,79.4977,4.8775,,1103000000.0,31603599.0,0.0771905725974566,1121,True,Financials
omc,Omnicom Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,543,333,305,1181,BBB,High,14289100000.0,11607900000.0,597900000.0,2681200000.0,,14289100000.0,78200000.0,40.3692,14.7824,14.8821,6.71072777846971,16.3027115704975,6.59958789168845,-20.73673408943,1.50202040594299,15313430000.0,5.1988,65.8962,34.1038,63.2373,84.5966,6.4921,0.9708,1403800000.0,48951340.0,0.0107428662704797,1181,True,Consumer
